260	SOPR	Software Process: Improvement and Practice	http://www.interscience.wiley.com/jpages/1077-4866/
261	STVR	Software Testing, Verification & Reliability	http://as.wiley.com/WileyCDA/WileyTitle/productCd-STVR.html
265	FMSD	Formal Methods in System Design	http://www.springerlink.com/content/0925-9856
266	TAPOS	Theory and Practice of Object Systems	http://www.interscience.wiley.com/jpages/1074-3227/
267	TELSYS	Telecommunication Systems	http://www.wkap.nl/prod/j/1018-4864
268	TELE	Telematics and Informatics	http://www.elsevier.com/locate/tele
269	TCS	Theoretical Computer Science	http://www.elsevier.com/locate/tcs
270	CJTCS	Chicago Journal of Theoretical Computer Science	http://cjtcs.cs.uchicago.edu/
271	DMTCS	Discrete Mathematics & Theoretical Computer Science	www.dmtcs.org/dmtcs-ojs/index.php/dmtcs
273	VC	The Visual Computer	http://link.springer.de/link/service/journals/00371/index.htm
274	VLDB	The Vldb Journal	http://link.springer.de/link/service/journals/00778/index.htm
275	WINET	Wireless Networks	http://www.wkap.nl/prod/j/1022-0038
276	HMD	Praxis Der Wirtschaftsinformatik	http://hmd.dpunkt.de/
277	WWW	World Wide Web	http://www.wkap.nl/prod/j/1386-145X
278	BIOINFORMATICS	Bioinformatics/computer Applications in The Biosciences	http://bioinformatics.oupjournals.org/
279	BIT	Bit Numerical Mathematics	http://www.springerlink.com/content/0006-3835/
280	BIB	Briefings in Bioinformatics	http://bib.oxfordjournals.org/
281	EATCS	Bulletin of The European Association for Theoretical Computer Science	http://www.eatcs.org/index.php/eatcs-bulletin
282	CLUSTER	Cluster Computing	http://www.wkap.nl/journalhome.htm/1386-7857
283	DCC	Designs, Codes and Cryptography	www.springer.com/mathematics/numbers/journal/10623
284	COGSCI	Cognitive Science	http://cognitivesciencesociety.org/journal_csj.html
285	RCC	Revista Colombiana De Computacion / Colombian Journal of Computation	http://www.unab.edu.co/editorialunab/revistas/rcc/ingles.htm
286		Combinatorica	http://link.springer.de/link/service/journals/00493/
287	CPC	Combinatorics, Probability & Computing	http://journals.cambridge.org/action/displayJournal?jid=CPC
288	ECR	Electronic Commerce Research	http://www.wkap.nl/journalhome.htm/1389-5753
289	ECRA	Electronic Commerce Research and Applications	http://www.elsevier.com/wps/find/journaldescription.cws_home/621289/description#description
290	CC	Computational Complexity	http://www.springerlink.com/openurl.asp?genre=journal&issn=1016-3328
291	ECCC	Electronic Colloquium on Computational Complexity	http://www.eccc.uni-trier.de/eccc/
292	COMGEO	Computational Geometry: Theory and Applications	www.elsevier.com/locate/comgeo
293	CAD	Computer-aided Design	http://www.sciencedirect.com/science/journal/00104485
294	CCR	Computer Communication Review	http://www.acm.org/sigs/sigcomm/ccr/
295	COMCOM	Computer Communications	www.elsevier.com/locate/comcom
