732679	Dennis P. Quinn		9095
733706	Chris R. Brown		5477
734509	David J. Harper		3276
735144	Bing Zhao		1345
738699	Michael J. Bailey		9095
739952	Matthew Richardson		20355
742928	William M. Campbell		12372
743780	Ted J. M. Sanders		2942
743892	Adrian Raftery		18939
744099	Angelo Farina		17773
745866	Feinian Chen		13155
750404	Mildred LG Shaw		16690
757952	Siobhán Clarke		16063
759616	Martin S Gaynor		964
759617	Michael J. Fishman		13470
762392	James E. Katz		14761
762757	Jeffrey Boase		14773
764160	Burkart Holzner		737
765163	Helena J. Nussenzveig Lopes		14352
765666	Jared Bernstein		635
766337	Stephen L. Parente		687
766426	Rui Li		5533
766613	Martin Reynaert		18638
766717	David Mark		929
767339	Noam Tractinsky		5245
768268	Manuel Castells		566
768568	Peter G. McLaren		4888
770599	Maureen Tam		10299
773400	Robert Moore Fisher		18520
773523	V. Florian		18384
773864	Domenico Menicucci		2362
776747	Nicolas Saunier		14190
780898	Ian M. McDonald		13983
782352	D. Russell Johnson		6704
782458	Huaiyin Li		18561
786116	Brian P. McCall		17233
787245	Jon Oberlander		7306
788459	Thomas R. McLean		20686
791172	Jan Friso Groote		4012
793275	Tor Eriksson		4764
794073	Eric J. Johnson		19285
794278	Emanuel A. Schegloff		16766
794656	DANIEL MARIO CACERES	DANIEL MARIO CÁCERES	720
799098	Robin D. Hanson		6059
799326	Gerard J. Fogarty		18478
800241	Takako Aikawa	相川孝子	20355
800508	Raymond W. Gibbs Jr.		16811
800682	Christhard Gelau		2157
800882	Linda A. Renzulli		16998
801907	Laurel Smith-Doerr		5533
803648	Hui Xiong	熊辉	14761
803984	Wendy L. Cukier		14773
804983	Leslie P. Willcocks		12174
806489	Peter D. Johnson		423
807443	Roger Slack		13484
810078	Ian Sommerville		15663
811697	David W. Bates		446
811889	Derk Jan Kiewiet		14747
812535	Partha Dasgupta		3120
815248	Mao Yang	杨懋	20355
815937	Erwin Roeland Boer		775
816081	Ian Vince McLoughlin		3702
817544	David Martens		16541
817753	Walter A. Hall		17249
818518	Michael Grossman		5775
820282	Stein W. Wallace		11940
823315	Lynne Bell		15154
823437	Tom Brijs		17023
823607	Douglas N. Walton		18656
829295	Gerhard Friedrich		12494
832684	Kazuhiro Seki		11662
834176	Michael H. Fuchs		13160
834402	Jens Edlund		11778
835361	Diane Harley		566
838901	Peter Clark		18561
842056	Richard P. Martin		1066
846180	Francis Kramarz		7508
849613	Terrie E. Moffitt		3144
849783	Yao-hua Tan		16469
850027	Thomas Wittenberg		17541
850143	Hans de Bruijn		16469
850545	Keith J. Topping		7144
850760	Ken Barker		16690
851001	David Krackhardt		964
851959	Claes Nilholm		9746
855569	Dan Olsen		5591
859307	John Fox		13881
861762	Phil Ellis		15796
862861	Alfred Hamerle		17784
863632	Bjorn Bengtsson	Björn Bengtsson	17279
866448	Suzanne Gauch		16608
867104	William G. Ouchi		16766
867484	Penny Stribling		14675
872080	Emeka Nkenke		17541
872925	Jonathan Levie		15750
873308	Richard T. Watson		16998
875450	Rob Procter		12311
878243	David R. Hunter		14286
879401	Nathan J. Kelly		18573
880812	Vincent Duindam		566
881363	Donald T. Campbell		17062
882391	Scott Nicholson		15979
884416	Alexander F. Wagner		18675
888254	Sandy P. Harrison		5453
890389	Louis L. Legrand		18939
890663	Piet J. M. Bakker		2426
890876	Adam Lawrence Epstein		18935
893354	Gary T. Marx		17601
896236	Jose Armando Valente	José Armando Valente	16675
896528	Steve Walker		13782
898662	Abhaya C. Nayak		12849
901915	Robert H. Haveman		19084
902998	Marcus W. Feldman		405
905986	Philip Kenneth Robins		12611
907249	David L. Dowe		12781
907491	Marcelo Dascal		16045
910326	Jonathan R. Cole		6375
912550	Jonathan Katz		710
912880	Henrik Eriksson		2969
916583	Jon Howell		20355
917883	Mark E. Glickman		5533
