2677804	0	35759708	TSAN-KUO CHANG	0
2697107	0	10730593	D. A. WINSOR	0
2698640	0	17933135	John Todman	0
2698640	1	42254530	Leona Elder	0
2698640	2	601448	Norman Alm	0
2700790	0	42225609	Grant Fairbanks	17062
2700790	1	52647809	Wilbert Pronovost	14369
2709544	0	8381945	John R. Sparks	16835
2709544	1	50794382	Charles S. Areni	9235
2709544	2	49687233	K. Chris Cox	13292
2733886	0	49869296	Miriam Rivett	0
2734192	0	55141576	S. A. Westmyer	0
2734192	1	52332422	R. L. Dicioccio	0
2734192	2	46310942	R. B. Rubin	0
2753353	0	18066925	Laura K. Guerrero	4076
2755005	0	34158688	ELIZABETH M. PERSE	0
2755007	0	42325942	Philip Napoli	0
2757030	0	3193528	D. V. M. Bishop	0
2785265	0	42304759	S. HILGARTNER	0
2794217	0	10721247	Roger J Ingham	661
2795223	0	224394	Marshall Scott Poole	657
2825428	0	23390377	Anne Harding	0
2825428	1	44252095	Pamela Grunwell	0
2830943	0	18060600	PATTI M. VALKENBURG	0
2830943	1	34164722	KAREN E. SOETERS	0
2831028	0	23449854	SONIA LIVINGSTONE	12174
2845539	0	18196384	Judith R. Johnston	0
2845539	1	34166132	Vivian Ramstad	0
2845696	0	43723964	Hairong Li	0
2845696	1	47387718	Janice L. Bukovac	0
2846441	0	42289411	DONALD G. ELLIS	0
2847321	0	42507687	Trevor Pinch	581
2854872	0	45849730	Sandra E. Moriarty	6364
2854872	1	42822606	Shu-Ling Everett	6364
2856123	0	53257897	Ardyce Haring	0
2856443	0	53405455	Ginnie Green	0
2856741	0	42231735	Robert T. Craig	0
2856879	0	10767996	John Hartley	14487
2856880	0	54988667	Howard Giles	0
2857109	0	43584250	Gerald C. Stone	6625
2858510	0	444423	Gregg Vanderheiden	0
2858510	1	54785109	David Kelso	0
2859667	0	10748677	L. HONEYCUTT	0
2874490	0	42189799	H. WILKINS	0
2874874	0	2771631	Robert M. Rubinyi	0
2878490	0	49413431	MELANIE BOOTH-BUTTERFIELD	0
2878490	1	42652800	STEVE BOOTH-BUTTERFIELD	0
2878496	0	18058730	Robin L. Nabi	0
2878496	1	42262188	Marina Krcmar	0
2883245	0	45163521	Steven L. Small	737
2897133	0	44270299	José Miguel Sandoval	0
2897133	1	45688966	Mark Stephen Jendrysik	0
2898177	0	42213116	Martyn Hammersley	13782
2898283	0	47656488	Robert A. Bell	13470
2904752	0	12531448	Frank H. Guenther	5533
2915136	0	42263750	S. Sassi	0
2915239	0	53065244	Jonathan Sterne	737
2915317	0	42213314	WILLIAM B. GUDYKUNST	0
2928300	0	55047464	MARSHALL SCOTT POOLE	0
2928300	1	43328757	JONELLE ROTH	0
2929166	0	34171854	Robert A. Hackett	15154
2931405	0	18141287	Philip Meyer	719
2931521	0	45488844	E. J. DOWNES	0
2931521	1	3489232	S. J. McMILLAN	0
2931581	0	42260459	James E. Grunig	710
2962105	0	18006919	WILLIAM H. DUTTON	0
2962105	1	51261067	EVERETT M. ROGERS	0
2962105	2	23462031	SUK-HO JUN	0
2964642	0	42265904	Christopher J. S. Tuppen	14919
2970809	0	23419085	Jonathan Potter	11983
2982166	0	876443	Vincent Price	0
2982166	1	2758130	Joseph N. Cappella	0
2982166	2	34175901	Lilach Nir	0
2982967	0	12548095	Ashley Packard	0
3010970	0	47412901	J. K. LARSEN	0
3011543	0	34178700	J. GLICKEN	0
3013535	0	2839692	JOHN M. WIEMANN	0
3013948	0	2840072	Mônica Macedo-Rouet	0
3013948	1	3356176	Jean-François Rouet	0
3013948	2	2840073	Isaac Epstein	0
3013948	3	2840074	Pierre Fayard	0
3015746	0	10765596	Horaball S. Venkatagiri	0
3024139	0	34179895	Roza Tsagarousianou	0
3024277	0	40500406	M. MABRITO	0
3031782	0	49601674	Anthony McCann	15260
3058215	0	23399328	Fred Genesee	0
3058215	1	23465092	Richard Y. Bourhis	0
3069330	0	351079	Robert Kubey	0
3069330	1	42270841	Reed Larson	0
3069330	2	23372914	Mihaly Csikszentmihalyi	0
3076205	0	23427653	Mary Beth Oliver	0
3076205	1	18058730	Robin L. Nabi	0
3076238	0	2867830	WILLIAM E. LOGES	0
3076238	1	42271070	JOO-YOUNG JUNG	0
3078754	0	42841464	Mark A. Hamilton	16795
3078754	1	41717440	Becky L. Stewart	4669
3080642	0	46158600	K. W. Berger	0
3080642	1	2869921	G. R. Popelka	0
