1329256	9	On Graph Problems in a Semi-streaming Model
1353797	9	A Spatial Logic for Querying Graphs
1364380	9	Efficient Computation of Equilibrium Prices for Markets with Leontief Utilities
1387139	9	Heuristically Optimized Trade-Offs: A New Paradigm for Power Laws in the Internet
1809671	9	Self-Adjusting Computation
1809672	9	Feasible Proofs and Computations: Partnership and Fusion
1809673	9	Testing, Optimizaton, and Games
1813057	9	A Gentle Introduction to Semantic Subtyping
1827903	9	A 2O(n1-(1/d)log n) Time Algorithm for d-Dimensional Protein Folding in the HP-Model
1827904	9	Improved Results for Data Migration and Open Shop Scheduling
1827905	9	Learning a Hidden Subgraph
1827906	9	Universality in Quantum Computation
1827907	9	Approximating Longest Directed Paths and Cycles
1827908	9	A Categorical Model for the Geometry of Interaction
1827909	9	Fairness to All While Downsizing
1827910	9	Coordination Mechanisms
1827912	9	Interactive Observability in Ludics
1827913	9	The Complexity of Equivariant Unification
1827914	9	Definitions and Bounds for Self-Healing Key Distribution Schemes
1827915	9	Bounded Fixed-Parameter Tractability and log2n Nondeterministic Bits
1827917	9	Exact (Exponential) Algorithms for Treewidth and Minimum Fill-In
1827918	9	What Do Program Logics and Type Systems Have in Common?
1827919	9	Tree-Walking Automata Cannot Be Determinized
1827920	9	Entropy as a Fixed Point
1827921	9	Optimal Reachability for Weighted Timed Games
1827922	9	A Calculus of Coroutines
1827923	9	Ecological Turing Machines
1827924	9	The Power of Verification for One-Parameter Agents
1827925	9	Linear and Branching Metrics for Quantitative Transition Systems
1827926	9	Testing Monotonicity over Graph Products
1827928	9	Algorithms for Multi-product Pricing
1827929	9	The Minimum-Entropy Set Cover Problem
1827930	9	Quantum Query Complexity of Some Graph Problems
1827931	9	A Calibration of Ineffective Theorems of Analysis in a Hierarchy of Semi-classical Logical Principles: (Extended Abstract)
1827932	9	Word Problems on Compressed Words
1827933	9	Optimal Website Design with the Constrained Subtree Selection Problem
1827934	9	Approximation Algorithms for the Capacitated Minimum Spanning Tree Problem and Its Variants in Network Design
1827935	9	Regular Solutions of Language Inequalities and Well Quasi-orders
1827936	9	Wavelength Assignment in Optical Networks with Fixed Fiber Capacity
1827937	9	A lambda-Calculus for Resource Separation
1827938	9	Efficiently Computing Succinct Trade-Off Curves
1827939	9	A Faster Algorithm for Minimum Cycle Basis of Graphs
1827940	9	Dynamic Price Sequence and Incentive Compatibility (Extended Abstract)
1827941	9	A Domain Theoretic Account of Picard's Theorem
1827942	9	Group Spreading: A Protocol for Provably Secure Distributed Name Service
1827943	9	Online Scheduling with Bounded Migration
1827944	9	Greedy Regular Expression Matching
1827945	9	Communication Versus Computation
1827946	9	Solving Two-Variable Word Equations (Extended Abstract)
1827947	9	Backtracking Games and Inflationary Fixed Points
1827948	9	On the Expressive Power of Monadic Least Fixed Point Logic
1827949	9	LA, Permutations, and the Hajós Calculus
1827950	9	Closest Pair Problems in Very High Dimensions
1827951	9	The Complexity of Partition Functions
1827952	9	An Analog Characterization of Elementarily Computable Functions over the Real Numbers
1827953	9	Grammar Compression, LZ-Encodings, and String Algorithms with Implicit Input
1827954	9	A PTAS for Embedding Hypergraph in a Cycle (Extended Abstract)
1827955	9	Projecting Games on Hypercoherences
1827956	9	Transparent Long Proofs: A First PCP Theorem for NPR
1827957	9	Linear Tolls Suffice: New Bounds and Algorithms for Tolls in Single Source Networks
1827958	9	Efficient Consistency Proofs for Generalized Queries on a Committed Database
1827959	9	Model Checking with Multi-valued Logics
1827960	9	Towards an Algebraic Theory of Typed Mobile Processes
1827961	9	Online Scheduling of Equal-Length Jobs: Randomization and Restarts Help
1827962	9	A Time Lower Bound for Satisfiability
1827963	9	Simple Permutations Mix Well
